,model,horizon,input_a,input_b,dm_stat,p_value
0,GRU,1 days,7d,14d,1.2114398990385509,0.22572685561497519
1,GRU,1 days,7d,21d,0.47334990516302233,0.6359635632301073
2,GRU,1 days,14d,21d,-1.5451706728532133,0.12230498605990237
3,GRU,30 days,7d,14d,7.493726884714333,6.683542608243442e-14
4,GRU,30 days,7d,21d,4.308364637844762,1.6446608224196524e-05
5,GRU,30 days,14d,21d,-5.1984987884870035,2.0090443419995552e-07
6,LSTM,1 days,7d,14d,1.6030389747085887,0.10892604958868946
7,LSTM,1 days,7d,21d,1.5715833734827345,0.11604720489673848
8,LSTM,1 days,14d,21d,-0.37875222342099285,0.704871868771038
9,LSTM,30 days,7d,14d,7.458539361693293,8.748557434046234e-14
10,LSTM,30 days,7d,21d,3.5019669807928078,0.00046183685047629375
11,LSTM,30 days,14d,21d,-5.283594488493311,1.2667348103789777e-07
12,NBEATS,1 days,7d,14d,-3.272496508252572,0.0010660218929972043
13,NBEATS,1 days,7d,21d,-3.771346448764242,0.00016236905918143307
14,NBEATS,1 days,14d,21d,-1.3175469747421407,0.1876553461164172
15,NBEATS,30 days,7d,14d,0.7032108944387112,0.4819243308646568
16,NBEATS,30 days,7d,21d,-2.98084502194831,0.002874542254176715
17,NBEATS,30 days,14d,21d,-6.272999106620899,3.541589244093757e-10
18,NHITS,1 days,7d,14d,-1.1839889051867494,0.23641745473143416
19,NHITS,1 days,7d,21d,-0.7648265179856669,0.44437485485743733
20,NHITS,1 days,14d,21d,0.230145001741819,0.817979096952
21,NHITS,30 days,7d,14d,0.9723119150567222,0.33089539800824896
22,NHITS,30 days,7d,21d,-1.463438589107427,0.14334740599818696
23,NHITS,30 days,14d,21d,-5.675196678348649,1.3852940128344926e-08
24,Informer,1 days,7d,14d,-12.180887935503936,0.0
25,Informer,1 days,7d,21d,-1.0201108490639061,0.30767589200769585
26,Informer,1 days,14d,21d,7.257138750209389,3.9546144137148076e-13
27,Informer,30 days,7d,14d,-6.168752796540967,6.883074110675125e-10
28,Informer,30 days,7d,21d,1.1228927761630736,0.26148303590276023
29,Informer,30 days,14d,21d,5.946319965108705,2.7423785464719685e-09
