pollutant,horizon,unique_id,model,MAE,ranking,unique_id.1,latitude,longitude,code_state,abbrev_state,name_state,code_region,name_region
go3,14days,54,NBEATS-G,8.803131565053156e-09,1.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,NBEATS-I,8.818826545799487e-09,2.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,NHITS,8.857477349276737e-09,3.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,LightGBM,9.009477263487922e-09,4.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,GRU,9.286260050852715e-09,5.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,LSTM,9.401723995472414e-09,6.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,RandomForest,1.025424261153724e-08,7.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,Theta,1.0784385829016136e-08,8.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,Informer,1.0894252007848993e-08,9.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,Arima,1.1175210823751975e-08,10.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,SeasonalNaive-8,1.1175210823751975e-08,10.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,ETS,1.1452076889713554e-08,12.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,XGBoost,1.1628081872706729e-08,13.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,SeasonalNaive-56,1.179030065945279e-08,14.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,54,Naive,1.3533137933780808e-08,15.0,54,-26.5,-52.0,41.0,PR,Paraná,4.0,Sul
go3,14days,59,LightGBM,8.885420235674356e-09,1.0,59,-25.75,-53.5,41.0,PR,Paraná,4.0,Sul
