horizon,h,input_multiplier,MAE,MAE_p95,state
1d,8,4,0.00022054530563764274,inf,TrialState.COMPLETE
1d,8,2,0.0001366164069622755,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,4,0.00022054530563764274,inf,TrialState.COMPLETE
1d,8,2,0.0001366164069622755,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,2,0.0001366164069622755,inf,TrialState.COMPLETE
1d,8,4,0.00022054530563764274,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,6,0.0001277908741030842,inf,TrialState.COMPLETE
1d,8,2,0.0001366164069622755,inf,TrialState.COMPLETE
1d,8,4,0.00022054530563764274,inf,TrialState.COMPLETE
7d,56,4,8.416024502366781e-05,0.00010773370013339445,TrialState.COMPLETE
7d,56,2,0.00010083071538247168,0.00010956275946227834,TrialState.COMPLETE
7d,56,6,8.943647844716907e-05,7.491881115129218e-05,TrialState.COMPLETE
7d,56,6,8.49740972626023e-05,8.11676582088694e-05,TrialState.COMPLETE
7d,56,4,8.433779294136912e-05,0.00010502892109798267,TrialState.COMPLETE
7d,56,2,0.00010023674985859543,0.00010346058115828782,TrialState.COMPLETE
7d,56,6,8.677842561155558e-05,8.960009290603921e-05,TrialState.COMPLETE
7d,56,2,9.742417751112953e-05,0.00011858103243866935,TrialState.COMPLETE
7d,56,4,8.888973388820887e-05,0.00011496696242829785,TrialState.COMPLETE
7d,56,6,8.494702342431992e-05,6.801801646361127e-05,TrialState.COMPLETE
7d,56,6,8.238638838520274e-05,6.990105612203479e-05,TrialState.COMPLETE
7d,56,6,8.514109504176304e-05,8.65877591422759e-05,TrialState.COMPLETE
7d,56,6,8.453445479972288e-05,8.182450983440503e-05,TrialState.COMPLETE
7d,56,6,8.287744276458398e-05,6.406719330698252e-05,TrialState.COMPLETE
7d,56,6,8.400996739510447e-05,6.090450187912211e-05,TrialState.COMPLETE
7d,56,6,8.374672324862331e-05,8.008410077309236e-05,TrialState.COMPLETE
7d,56,6,8.791269647190347e-05,8.060856634983793e-05,TrialState.COMPLETE
7d,56,4,8.41517248773016e-05,0.00010211210610577837,TrialState.COMPLETE
7d,56,2,9.724310075398535e-05,9.203045192407444e-05,TrialState.COMPLETE
7d,56,6,8.517860260326415e-05,6.230988947208971e-05,TrialState.COMPLETE
