epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,1,1.9000099897384644,,
1,,3,1.5894272327423096,,
2,,5,1.4101505279541016,,
3,,7,1.2552103996276855,,
4,,9,1.2301747798919678,,
5,,11,1.164494276046753,,
6,,13,1.175500512123108,,
7,,15,1.0965774059295654,,
8,,17,1.0750818252563477,,
9,,19,1.057929515838623,,
10,,21,1.0195059776306152,,
11,,23,0.9969851970672607,,
12,,25,0.9580597877502441,,
13,,27,0.9488285779953003,,
14,,29,0.9838698506355286,,
15,,31,0.9415579438209534,,
16,,33,0.9431458115577698,,
17,,35,0.9609559774398804,,
18,,37,0.9385386109352112,,
19,,39,0.9648492336273193,,
20,,41,0.9745831489562988,,
21,,43,0.9519415497779846,,
22,,45,0.9241764545440674,,
23,,47,0.9567680358886719,,
24,,49,,0.8831671476364136,
24,,49,0.921606719493866,,
25,,51,0.9556652307510376,,
26,,53,0.9640914797782898,,
27,,55,0.9445837140083313,,
28,,57,0.9066502451896667,,
29,,59,0.9596964120864868,,
30,,61,0.9278984069824219,,
31,,63,0.9225195646286011,,
32,,65,0.8871465921401978,,
33,,67,0.9293017387390137,,
34,,69,0.9489254951477051,,
35,,71,0.9207631349563599,,
36,,73,0.9122686386108398,,
37,,75,0.9150025844573975,,
38,,77,0.9137757420539856,,
39,,79,0.9054304361343384,,
40,,81,0.8759129047393799,,
41,,83,0.8929860591888428,,
42,,85,0.9021989107131958,,
43,,87,0.8860232830047607,,
44,,89,0.9311835169792175,,
45,,91,0.9106453657150269,,
46,,93,0.93451988697052,,
47,,95,0.8824052214622498,,
48,,97,0.8935599327087402,,
49,,99,,0.8678956627845764,
49,1.2615221738815308,99,,,1.3094316720962524
49,,99,0.8821976184844971,,
50,,101,0.9360900521278381,,
51,,103,0.8902817964553833,,
52,,105,0.8907943964004517,,
53,,107,0.8767188191413879,,
54,,109,0.9153128862380981,,
55,,111,0.8953354358673096,,
56,,113,0.9362653493881226,,
57,,115,0.9029636383056641,,
58,,117,0.9466022849082947,,
59,,119,0.9335051774978638,,
60,,121,0.9016774892807007,,
61,,123,0.9040698409080505,,
62,,125,0.9249371290206909,,
63,,127,0.9169119596481323,,
64,,129,0.8959233164787292,,
65,,131,0.8957569003105164,,
66,,133,0.9211874008178711,,
67,,135,0.8652965426445007,,
68,,137,0.8673381805419922,,
69,,139,0.9232960939407349,,
70,,141,0.9302010536193848,,
71,,143,0.9044647812843323,,
72,,145,0.9235579967498779,,
73,,147,0.9120465517044067,,
74,,149,,0.9481863975524902,
74,,149,0.9203914403915405,,
75,,151,0.8806083798408508,,
76,,153,0.8909938931465149,,
77,,155,0.9279139637947083,,
78,,157,0.8978263735771179,,
79,,159,0.8986157178878784,,
80,,161,0.8816158771514893,,
81,,163,0.8862063884735107,,
82,,165,0.9218387603759766,,
83,,167,0.9272890090942383,,
84,,169,0.8880579471588135,,
85,,171,0.8842904567718506,,
86,,173,0.9097129702568054,,
87,,175,0.8955454230308533,,
88,,177,0.910275936126709,,
89,,179,0.8703279495239258,,
90,,181,0.9290295839309692,,
91,,183,0.8810596466064453,,
92,,185,0.8963683843612671,,
93,,187,0.8639578819274902,,
94,,189,0.888698160648346,,
95,,191,0.8743857145309448,,
96,,193,0.9222865700721741,,
97,,195,0.884915828704834,,
98,,197,0.8991475105285645,,
99,,199,,0.961769163608551,
99,1.2337193489074707,199,,,1.3005223274230957
99,,199,0.930476188659668,,
100,,201,0.8809493780136108,,
101,,203,0.871945858001709,,
102,,205,0.8712999224662781,,
103,,207,0.8648438453674316,,
104,,209,0.8714613318443298,,
105,,211,0.8684732913970947,,
106,,213,0.8688547611236572,,
107,,215,0.8805909156799316,,
108,,217,0.8851723074913025,,
109,,219,0.885483980178833,,
110,,221,0.8837719559669495,,
111,,223,0.8810375928878784,,
112,,225,0.930866003036499,,
113,,227,0.9188416004180908,,
114,,229,0.8688733577728271,,
115,,231,0.910772442817688,,
116,,233,0.8749773502349854,,
117,,235,0.891552209854126,,
118,,237,0.8920024633407593,,
119,,239,0.8685687780380249,,
120,,241,0.9322596788406372,,
121,,243,0.8807919025421143,,
122,,245,0.9175713062286377,,
123,,247,0.8748656511306763,,
124,,249,,0.8756857514381409,
124,,249,0.8771603107452393,,
125,,251,0.8816710710525513,,
126,,253,0.8836894631385803,,
127,,255,0.8686752319335938,,
128,,257,0.9337588548660278,,
129,,259,0.8847723603248596,,
130,,261,0.870472252368927,,
131,,263,0.8834149837493896,,
132,,265,0.9127392768859863,,
133,,267,0.8799042701721191,,
134,,269,0.8838908672332764,,
